OBJECTID,STREETSEG,WEEKNUMBER,HIGHSPEED_AM_NORUSH,HIGHSPEED_AM_RUSH,HIGHSPEED_EVENING,HIGHSPEED_OVERNIGHT,HIGHSPEED_PM_NORUSH,HIGHSPEED_PM_RUSH,LOWSPEED_AM_NORUSH,LOWSPEED_AM_RUSH,LOWSPEED_EVENING,LOWSPEED_NO_TIME,LOWSPEED_OVERNIGHT,LOWSPEED_PM_NORUSH,LOWSPEED_PM_RUSH,OTHER_PM_NORUSH,UNSAFEDRIVING_AM_NORUSH,UNSAFEDRIVING_AM_RUSH,UNSAFEDRIVING_EVENING,UNSAFEDRIVING_OVERNIGHT,UNSAFEDRIVING_PM_NORUSH,UNSAFEDRIVING_PM_RUSH,UNSAFEOPER_AM_NORUSH,UNSAFEOPER_AM_RUSH,UNSAFEOPER_EVENING,UNSAFEOPER_OVERNIGHT,UNSAFEOPER_PM_NORUSH,UNSAFEOPER_PM_RUSH,UNSAFEVEHICLE_OVERNIGHT,UNSAFEVEHICLE_PM_NORUSH,UNSAFEVEHICLE_PM_RUSH,REGISTEREDNAME,STREETTYPE,QUADRANT,FROMADDRESSLEFTTHEO,TOADDRESSLEFTTHEO,SHAPE_,SHAPELEN
66,4905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,C,ST,SW,1300,1398,,202.705049429917
67,4927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ILLINOIS,AVE,NW,5500,5598,,113.123321908178
68,4982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,CALVERT,ST,NW,2300,2314,,100.33821349307
69,5055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,MINNESOTA,AVE,SE,2430,2434,,32.7909093494981
70,5097,1,0,0,0,0,3,0,15,10,0,0,0,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MASSACHUSETTS,AVE,NW,3452,3498,,96.2613452748904
71,5163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12TH,ST,NW,1900,1998,,158.050878162912
72,5237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NORTH CAPITOL,ST,BN,1600,1624,,82.5841191458713
73,5366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18TH,ST,NW,2300,2398,,106.991741809117
74,5435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,1,0,0,0,0,INTERSTATE 395, ,BN,9999,9999,,2754.69273221295
75,5523,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,FLORIDA,AVE,NW,1800,1850,,183.380321462175
76,5703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,BENNING,RD,NE,4530,4598,,35.3084347469823
77,5725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,CONNECTICUT,AVE,NW,5324,5398,,85.394895971501
78,5856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,36TH,ST,NW,1100,1198,,29.3699674965914
79,5886,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,WISCONSIN,AVE,NW,4530,4598,,98.8027990689176
80,5964,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,L,ST,NW,1700,1716,,130.333783255164
81,6074,1,0,0,0,0,0,0,6,1,2,0,2,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MACARTHUR,BLVD,NW,4700,4798,,325.140582451708
82,6179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,4,4,0,0,0,FLORIDA,AVE,NE,110,118,,72.9277755428312
83,6200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,WISCONSIN,AVE,NW,3700,3898,,170.217967365654
84,6219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4TH,ST,NE,2836,3298,,436.76027976422
85,6230,1,0,0,0,0,0,0,5,7,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EASTERN,AVE,NE,800,802,,60.7264394025999
86,6304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,WINDOM,PL,NW,0,0,,187.542454037321
87,6434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,WISCONSIN,AVE,NW,3010,3198,,318.489246933533
88,6467,1,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENNING,RD,NE,3400,3798,,501.981949364516
89,6667,1,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PARK,PL,NW,3500,3530,,95.3354327811122
90,6674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,T,ST,NW,2000,2098,,209.056259813121
91,6705,1,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14TH,ST,NW,5200,5298,,130.899980633364
92,6783,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,FORT,DR,NE,2,50,,100.86370148053
